"","x"
"X533",1
"X534",1
"X535",2
"X536",1
"X537",1
"X538",1
"X539",2
"X540",1
"X541",1
"X542",2
"X543",1
"X544",1
"X545",1
"X546",1
"X547",2
"X548",1
"X549",1
"X550",3
"X551",3
"X552",1
"X553",2
"X554",1
"X555",1
"X556",1
"X557",2
"X558",1
"X559",1
"X560",2
"X561",1
"X562",1
"X563",1
"X564",1
"X565",1
"X566",1
"X567",1
"X568",1
"X569",1
"X570",1
"X571",1
"X572",1
"X573",2
"X574",2
"X575",2
"X576",1
"X577",2
"X578",2
"X579",2
"X580",2
"X581",2
"X582",1
"X583",2
"X584",2
"X585",2
"X586",2
"X587",1
"X588",1
"X589",2
"X590",2
"X591",2
"X592",1
"X593",1
"X594",1
"X595",1
"X596",2
"X597",2
"X598",2
"X599",2
"X600",2
"X601",1
"X602",1
"X603",2
"X604",2
"X605",2
"X606",2
"X607",2
"X608",2
"X609",1
"X610",3
"X611",3
"X612",3
"X613",3
"X614",3
"X615",1
"X616",1
"X617",1
"X618",1
"X619",2
"X620",2
"X621",1
"X622",2
"X623",2
"X624",3
"X625",1
"X626",2
"X627",2
"X628",2
"X629",1
"X630",1
"X631",2
"X632",2
"X633",1
"X634",1
"X635",1
"X636",2
"X637",2
"X638",2
"X639",1
"X640",2
"X641",2
"X642",2
"X643",2
"X644",2
"X645",1
"X646",2
"X647",2
"X648",2
"X649",2
"X650",2
"X651",1
"X652",1
"X653",2
"X654",2
"X655",2
"X656",2
"X657",2
"X658",1
"X659",1
"X660",2
"X661",2
"X662",2
"X663",2
"X664",2
"X665",1
"X666",1
"X667",1
"X668",1
"X669",2
"X670",3
"X671",2
"X672",3
"X673",3
"X674",2
"X675",3
"X676",3
"X677",1
"X678",1
"X679",2
"X680",3
"X681",2
"X682",2
"X683",2
"X684",2
"X685",1
"X686",2
"X687",2
"X688",2
"X689",2
"X690",2
"X691",2
"X692",1
"X693",2
"X694",3
"X695",2
"X696",1
"X697",1
"X698",2
"X699",2
"X700",2
"X701",2
"X702",1
"X703",1
"X704",1
"X705",2
"X706",2
"X707",2
"X708",2
"X709",1
"X710",2
"X711",2
"X712",2
"X713",2
"X714",2
"X715",2
"X716",1
"X717",1
"X718",1
"X719",2
"X720",2
"X721",2
"X722",2
"X723",1
"X724",2
"X725",2
"X726",2
"X727",2
"X728",2
"X729",2
"X730",1
"X731",1
"X732",1
"X733",2
"X734",2
"X735",2
"X736",1
"X737",1
"X738",1
"X739",2
"X740",1
"X741",1
"X742",2
"X743",3
"X744",2
"X745",1
"X746",2
"X747",3
"X748",2
"X749",1
"X750",2
"X751",1
"X752",2
"X753",1
"X754",1
"X755",1
"X756",1
"X757",2
"X758",1
"X759",2
"X760",1
"X761",1
"X762",1
"X763",1
"X764",1
"X765",1
"X766",1
"X767",1
"X768",1
"X769",1
"X770",1
"X771",1
"X772",1
"X773",1
"X774",1
"X775",1
"X776",1
"X777",1
"X778",1
"X779",1
"X780",3
"X781",1
"X782",1
"X783",1
"X784",3
"X785",1
"X786",1
"X787",1
"X788",1
"X789",1
"X790",1
"X791",3
"X792",1
"X793",1
"X794",1
"X795",1
"X796",1
"X797",1
"X798",3
"X799",1
"X800",2
"X801",2
